player,position,team,projected_points,avg_ppg_3yr,adp,adp_stdev,times_drafted,bye,ppg_trend,points_2025,games_2025,points_2024,games_2024,points_2023,games_2023
Nate Carter,RB,ATL,34.0,2.0,,,,,2.0,4.0,2,0.0,0,0.0,0
Mike Woods,WR,CLE,34.0,2.0,,,,,0.0,0.0,0,10.0,5,0.0,0
Jacardia Wright,RB,SEA,34.0,2.0,,,,,2.0,2.0,1,0.0,0,0.0,0
Jonathon Brooks,RB,CAR,34.0,2.0,89.2,11.4,144,5,0.0,0.0,0,6.0,3,0.0,0
Leonard Fournette,RB,BUF,34.0,2.0,,,,,-2.0,0.0,0,0.0,0,4.0,2
Moliki Matavao,TE,NO,34.0,2.0,,,,,2.0,2.0,1,0.0,0,0.0,0
Jalen Reagor,WR,NE,33.9,1.99,,,,,-2.78,0.0,0,11.2,7,25.0,9
Isaiah Williams,WR,CIN,33.8,1.99,,,,,3.18,47.7,15,1.6,8,0.0,0
Brevin Jordan,TE,HOU,33.7,1.98,,,,,-4.24,0.0,0,1.7,2,42.4,10
MyCole Pruitt,TE,ATL,33.2,1.95,,,,,-2.15,0.0,0,13.0,7,21.5,10
Trishton Jackson,WR,MIN,33.2,1.95,,,,,-1.95,0.0,0,0.0,0,3.9,2
Dalvin Cook,RB,NYJ,33.1,1.95,,,,,-2.34,0.0,0,3.5,2,32.7,14
DJ Giddens,RB,IND,32.6,1.92,,,,,1.92,9.6,5,0.0,0,0.0,0
Lucas Krull,TE,DEN,32.5,1.91,,,,,-1.54,2.5,2,24.7,10,19.5,7
Ja'Lynn Polk,WR,NE,32.4,1.91,,,,,0.0,0.0,0,26.7,14,0.0,0
Kenny McIntosh,RB,SEA,32.3,1.9,,,,,0.0,0.0,0,20.9,11,0.0,0
Efton Chism III,WR,NE,31.9,1.88,,,,,1.88,15.0,8,0.0,0,0.0,0
Mason Tipton,WR,NO,31.8,1.87,,,,,1.86,14.9,8,16.9,9,0.0,0
Casey Washington,WR,ATL,31.8,1.87,,,,,2.48,12.4,5,1.9,2,0.0,0
Quintin Morris,TE,BUF,31.7,1.86,,,,,-3.48,14.5,11,12.1,10,9.6,2
Jermar Jefferson,RB,DET,31.5,1.85,,,,,0.0,0.0,0,3.7,2,0.0,0
Keleki Latu,TE,BUF,31.2,1.83,,,,,1.83,5.5,3,0.0,0,0.0,0
Richie James,WR,KC,31.0,1.82,,,,,-1.82,0.0,0,0.0,0,16.4,9
Devine Ozigbo,RB,DET,30.6,1.8,,,,,-1.8,0.0,0,0.0,0,1.8,1
J.J. Taylor,RB,HOU,30.6,1.8,,,,,0.0,0.0,0,5.4,3,0.0,0
Jordan Watkins,WR,SF,30.6,1.8,,,,,1.8,3.6,2,0.0,0,0.0,0
Rakim Jarrett,WR,TB,30.4,1.79,,,,,-1.14,0.0,0,16.9,8,8.0,7
Isaiah Spiller,RB,LAC,30.2,1.78,,,,,-1.78,0.0,0,0.0,0,16.0,9
Hunter Luepke,RB,DAL,30.2,1.77,,,,,1.06,30.5,14,20.9,14,11.2,10
Byron Pringle,WR,WAS,30.2,1.78,,,,,-1.78,0.0,0,0.0,0,23.1,13
Dare Ogunbowale,RB,HOU,30.0,1.77,,,,,0.66,19.1,14,46.5,16,6.3,9
Equanimeous St. Brown,WR,CHI,29.6,1.74,,,,,-1.74,0.0,0,0.0,0,8.7,5
Keith Kirkwood,WR,NO,29.6,1.74,,,,,-1.74,0.0,0,0.0,0,12.2,7
Will Mallory,TE,IND,29.5,1.73,,,,,-0.6,2.1,1,4.9,7,29.7,11
Trenton Irwin,WR,CIN,29.3,1.72,,,,,-4.17,0.0,0,3.0,6,50.1,12
Terrace Marshall Jr.,WR,CAR,29.3,1.72,,,,,-2.92,0.0,0,5.6,5,23.4,8
Savion Williams,WR,GB,29.0,1.71,,,,,1.71,20.5,12,0.0,0,0.0,0
Dont'e Thornton Jr.,WR,LV,28.6,1.68,,,,,1.68,18.5,11,0.0,0,0.0,0
Kenny Yeboah,TE,NYJ,28.5,1.68,,,,,-1.27,0.0,0,13.2,7,3.8,3
Darrynton Evans,RB,MIA,28.4,1.67,,,,,-4.42,0.0,0,0.3,1,26.5,6
Nick Bawden,RB,NYJ,28.3,1.67,,,,,-1.67,0.0,0,0.0,0,10.0,6
Jake Haener,QB,NO,28.1,1.66,,,,,0.0,0.0,0,13.2,8,0.0,0
Luke Farrell,TE,JAX,27.9,1.64,,,,,-0.35,24.0,13,12.7,12,22.0,10
Tylan Wallace,WR,BAL,27.8,1.63,,,,,-0.13,12.5,11,30.8,12,7.6,6
John Bates,TE,WAS,27.7,1.63,,,,,0.54,21.8,10,10.4,13,24.6,15
Xavier Smith,WR,LA,27.6,1.62,,,,,2.46,39.3,16,5.2,14,0.0,0
Chase Claypool,WR,MIA,27.4,1.61,,,,,-1.61,0.0,0,0.0,0,17.7,11
Malachi Corley,WR,NYJ,27.2,1.6,,,,,2.18,26.1,12,3.7,5,0.0,0
Jase McClellan,RB,ATL,27.2,1.6,,,,,0.0,0.0,0,3.2,2,0.0,0
Randall Cobb,WR,NYJ,27.2,1.6,,,,,-1.6,0.0,0,0.0,0,14.4,9
Tahj Washington,WR,MIA,27.2,1.6,,,,,1.6,3.2,2,0.0,0,0.0,0
Ronnie Rivers,RB,LA,27.0,1.59,,,,,-1.19,4.6,6,15.8,6,17.6,9
Jermaine Burton,WR,CIN,27.0,1.59,,,,,0.0,0.0,0,12.7,8,0.0,0
Kene Nwangwu,RB,MIN,26.7,1.57,,,,,0.93,10.9,10,6.0,2,1.3,8
Carson Steele,RB,KC,26.7,1.57,,,,,0.0,0.0,0,20.4,13,0.0,0
Donovan Peoples-Jones,WR,DET,26.7,1.57,,,,,-1.57,0.0,0,0.0,0,22.0,14
Jonathan Mingo,WR,CAR,26.6,1.57,,,,,-3.62,3.0,5,23.7,14,63.3,15
Tyler Goodson,RB,IND,26.4,1.56,,,,,-2.1,4.2,10,38.9,14,15.1,6
Alex Erickson,WR,LAC,26.4,1.55,,,,,-4.65,0.0,0,0.0,3,37.2,8
Andrew Ogletree,TE,IND,26.4,1.55,,,,,-1.86,10.7,11,21.4,12,31.2,11
Julian Hill,TE,MIA,26.3,1.55,,,,,1.56,23.5,11,16.0,14,5.8,10
Ben Sims,TE,GB,26.3,1.55,,,,,-0.18,4.5,3,6.2,4,10.1,6
Gunner Olszewski,WR,NYG,26.2,1.54,,,,,1.55,30.8,16,0.0,0,4.5,12
Payne Durham,TE,TB,26.2,1.54,,,,,-1.18,1.6,8,29.0,8,8.3,6
Brandon Powell,WR,MIN,25.7,1.51,,,,,-3.21,0.0,0,10.6,16,54.6,17
Jake Bobo,WR,SEA,25.6,1.51,,,,,-2.79,3.0,5,23.2,12,47.4,14
Allen Robinson,WR,PIT,25.5,1.5,,,,,-3.0,0.0,0,4.5,6,45.0,15
Laviska Shenault Jr.,WR,CAR,25.5,1.5,,,,,-2.06,0.0,0,12.2,10,16.5,8
Hassan Haskins,RB,LAC,25.2,1.48,,,,,0.73,8.0,11,31.3,12,0.0,0
Kylen Granson,TE,IND,25.2,1.48,,,,,-3.24,7.5,12,25.2,16,58.0,15
Jason Myers,K,SEA,25.2,0.0,125.1,27.8,27,11,0.0,0.0,17,0.0,17,0.0,17
Jalin Hyatt,WR,NYG,24.9,1.47,,,,,-2.75,6.0,6,10.2,10,48.8,13
E.J. Jenkins,TE,PHI,24.5,1.44,,,,,0.0,0.0,1,7.2,2,0.0,0
Rashaad Penny,RB,PHI,24.4,1.43,,,,,-1.43,0.0,0,0.0,0,4.3,3
Ka'imi Fairbairn,K,HOU,24.4,0.0,128.0,26.9,7,8,0.0,0.0,15,0.0,17,0.0,12
Ashton Dulin,WR,IND,24.4,1.44,,,,,1.46,17.5,12,18.2,13,0.0,0
Jamari Thrash,WR,CLE,24.2,1.42,,,,,1.96,15.7,8,3.7,6,0.0,0
Trey Sermon,RB,IND,24.0,1.41,,,,,-2.35,0.0,3,45.8,15,18.8,8
Ian Thomas,TE,CAR,23.9,1.41,,,,,0.98,17.9,9,2.2,3,8.1,8
Cody Schrader,RB,LA,23.8,1.4,,,,,0.0,0.0,0,1.4,1,0.0,0
Kendric Pryor,WR,CIN,23.8,1.4,,,,,0.0,0.0,0,1.4,1,0.0,0
D'Ernest Johnson,RB,JAX,23.6,1.39,,,,,-1.36,2.5,5,29.9,12,29.8,16
Brandon Aubrey,K,DAL,23.6,0.02,129.0,23.1,218,14,0.04,0.6,17,0.0,17,0.0,17
Brandon Allen,QB,SF,23.4,1.38,,,,,0.88,0.9,1,6.4,3,0.0,0
George Holani,RB,SEA,23.4,1.37,,,,,1.98,19.8,10,1.4,3,0.0,0
Simi Fehoko,WR,LAC,23.3,1.37,,,,,-3.7,0.0,7,13.6,6,7.4,2
Seattle Defense,DEF,SEA,23.3,0.0,85.6,7.6,16,11,0.0,0.0,0,0.0,0,0.0,0
KeAndre Lambert-Smith,WR,LAC,23.1,1.36,,,,,1.36,13.6,10,0.0,0,0.0,0
Cameron Dicker,K,LAC,22.8,0.0,139.4,18.3,16,7,0.0,0.0,17,0.0,17,0.0,17
Parris Campbell,WR,NYG,22.8,1.34,,,,,-2.04,0.0,1,12.0,4,20.4,10
Denver Defense,DEF,DEN,22.6,0.0,92.5,9.8,34,10,0.0,0.0,0,0.0,0,0.0,0
KhaDarel Hodge,WR,ATL,22.6,1.33,,,,,-1.58,4.6,8,22.6,11,30.2,14
Tanner Conner,TE,MIA,22.6,1.33,,,,,1.7,13.6,8,3.1,4,0.0,0
JaMycal Hasty,RB,JAX,22.5,1.32,,,,,0.0,0.0,0,23.8,12,0.0,1
Elijah Cooks,WR,JAX,22.5,1.32,,,,,-1.32,0.0,0,0.0,0,5.3,4
Boston Scott,RB,PHI,22.4,1.32,,,,,-1.32,0.0,0,0.0,0,15.8,12
River Cracraft,WR,MIA,22.1,1.3,,,,,-3.77,0.0,2,10.1,5,22.6,6
Braxton Berrios,WR,MIA,22.1,1.3,,,,,-1.1,6.7,4,0.0,6,44.4,16
Blake Bell,TE,KC,22.1,1.3,,,,,-1.3,0.0,0,0.0,0,9.1,7
Harrison Mevis,K,LA,22.0,0.0,141.1,15.4,14,11,0.0,0.0,9,0.0,0,0.0,0
Houston Defense,DEF,HOU,21.9,0.0,98.7,9.1,55,8,0.0,0.0,0,0.0,0,0.0,0
Dylan Drummond,WR,ATL,21.8,1.28,,,,,1.28,7.7,6,0.0,0,0.0,0
Harrison Bryant,TE,CLE,21.6,1.27,,,,,-1.9,1.7,5,13.1,6,31.4,14
Joshua Kelley,RB,LAC,21.5,1.26,,,,,-3.39,0.0,0,0.2,1,57.7,17
Peyton Hendershot,TE,DAL,21.3,1.26,,,,,-0.72,0.0,0,7.6,5,5.8,8
Craig Reynolds,RB,DET,21.3,1.25,,,,,-2.35,0.4,5,19.4,8,29.1,12
Durham Smythe,TE,MIA,21.2,1.25,,,,,-3.52,4.5,7,9.8,14,54.1,13
Jake Bates,K,DET,21.2,0.0,146.5,11.5,13,6,0.0,0.0,17,0.0,17,0.0,0
LA Rams Defense,DEF,LAR,21.2,0.0,103.5,9.1,124,11,0.0,0.0,0,0.0,0,0.0,0
Mecole Hardman,WR,KC,21.0,1.24,,,,,-2.89,0.0,2,27.2,12,20.2,7
LeQuint Allen Jr.,RB,JAX,21.0,1.24,,,,,1.24,19.8,16,0.0,0,0.0,0
Johnny Wilson,WR,PHI,20.9,1.23,,,,,0.0,0.0,0,12.3,10,0.0,0
Trent Sherfield,WR,BUF,20.8,1.22,,,,,-0.93,3.6,4,18.3,13,20.1,11
Brevyn Spann-Ford,TE,DAL,20.7,1.21,,,,,1.22,19.5,16,13.3,11,0.0,0
Trayveon Williams,RB,CIN,20.6,1.21,,,,,1.47,13.1,6,0.0,5,11.4,16
Minnesota Defense,DEF,MIN,20.5,0.0,106.4,12.9,13,6,0.0,0.0,0,0.0,0,0.0,0
Willie Snead,WR,SF,20.4,1.2,,,,,-1.2,0.0,0,0.0,0,2.4,2
John FitzPatrick,TE,ATL,20.4,1.2,,,,,1.18,19.2,11,0.7,1,1.7,3
Marquise Goodwin,WR,CLE,20.4,1.2,,,,,-1.2,0.0,0,0.0,0,12.0,10
Will Reichard,K,MIN,20.4,0.0,148.9,22.7,14,6,0.0,0.0,17,0.0,13,0.0,0
Dallin Holker,TE,NO,20.4,1.2,,,,,0.0,0.0,0,3.6,3,0.0,0
Bryce Ford-Wheaton,WR,NYG,20.4,1.2,,,,,0.0,0.0,0,6.0,5,0.0,0
Tyrion Davis-Price,RB,SF,19.8,1.17,,,,,-2.1,0.0,0,0.7,1,2.1,1
New England Defense,DEF,NE,19.8,0.0,121.8,13.7,40,11,0.0,0.0,0,0.0,0,0.0,0
Derius Davis,WR,LAC,19.7,1.16,,,,,-1.55,2.5,11,33.6,15,30.2,17
Isaiah McKenzie,WR,IND,19.7,1.16,,,,,-1.16,0.0,0,0.0,0,15.1,13
Harrison Butker,K,KC,19.6,0.0,149.5,21.8,17,5,0.0,0.0,17,0.0,13,0.0,17
Malik Taylor,WR,NYJ,19.5,1.15,,,,,-1.15,0.0,0,0.0,0,2.3,2
Eric Saubert,TE,HOU,19.3,1.13,,,,,-0.11,7.1,9,21.2,12,2.7,3
Philadelphia Defense,DEF,PHI,19.1,0.0,132.2,19.0,45,10,0.0,0.0,0,0.0,0,0.0,0
Anthony Firkser,TE,KC,19.0,1.12,,,,,1.86,9.3,5,0.0,1,0.0,0
Chase McLaughlin,K,TB,18.8,0.0,150.1,17.1,16,10,0.0,0.0,17,0.0,17,0.0,17
John Ross,WR,PHI,18.7,1.1,,,,,0.0,0.0,0,1.1,1,0.0,0
Cole Fotheringham,TE,LV,18.7,1.1,,,,,-1.1,0.0,0,0.0,0,1.1,1
DJ Turner,WR,LV,18.5,1.09,,,,,0.0,0.0,1,39.1,12,0.0,7
Detroit Defense,DEF,DET,18.4,0.0,133.3,10.0,23,6,0.0,0.0,0,0.0,0,0.0,0
Mike Boone,RB,HOU,18.4,1.08,,,,,-1.09,0.0,0,5.4,5,9.8,9
Jack Stoll,TE,PHI,18.1,1.06,,,,,0.46,13.6,9,2.0,5,6.3,6
Will Shipley,RB,PHI,18.1,1.06,,,,,1.07,15.0,14,13.7,13,0.0,0
Cam Little,K,JAX,18.0,0.0,156.4,19.5,61,7,0.0,0.0,17,0.0,17,0.0,0
Sal Cannella,TE,CLE,17.9,1.05,,,,,1.05,2.1,2,0.0,0,0.0,0
Kenyan Drake,RB,GB,17.9,1.05,,,,,-1.05,0.0,0,0.0,0,2.1,2
Grant DuBose,WR,MIA,17.9,1.05,,,,,0.0,0.0,0,2.1,2,0.0,0
Cam Grandy,TE,CIN,17.7,1.04,,,,,0.85,1.7,2,5.3,4,0.0,0
Pittsburgh Defense,DEF,PIT,17.7,0.0,137.1,16.1,38,9,0.0,0.0,0,0.0,0,0.0,0
Rasheen Ali,RB,BAL,17.6,1.04,,,,,1.31,19.7,15,3.1,5,0.0,0
Evan Hull,RB,IND,17.6,1.04,,,,,-0.22,5.9,6,0.0,0,1.2,1
Ben Skowronek,WR,LA,17.6,1.04,,,,,-0.41,14.9,16,9.4,9,17.5,13
Samori Toure,WR,GB,17.5,1.03,,,,,-0.93,0.8,1,0.0,0,13.8,8
Josiah Deguara,TE,GB,17.3,1.02,,,,,0.2,9.6,7,2.9,7,10.5,9
Bryce Oliver,WR,TEN,17.3,1.02,,,,,0.65,1.3,2,12.5,8,0.0,0
Elijah Mitchell,RB,SF,17.2,1.01,,,,,-4.05,0.0,1,0.0,0,44.5,11
Cairo Santos,K,CHI,17.2,0.0,160.2,18.9,8,10,0.0,0.0,15,0.0,17,0.0,17
Marvin Jones,WR,DET,17.0,1.0,,,,,-1.0,0.0,0,0.0,0,4.0,4
LA Chargers Defense,DEF,LAC,17.0,0.0,144.9,15.8,45,7,0.0,0.0,0,0.0,0,0.0,0
Tip Reiman,TE,ARI,16.9,0.99,,,,,1.1,3.3,3,6.7,8,0.0,0
Brycen Tremayne,WR,WAS,16.7,0.98,,,,,1.53,23.0,15,0.3,2,0.0,0
Tyler Loop,K,BAL,16.4,0.0,162.3,27.7,24,13,0.0,0.0,17,0.0,0,0.0,0
Tim Jones,WR,JAX,16.4,0.96,,,,,-0.38,2.0,2,5.6,8,13.8,10
Jacksonville Defense,DEF,JAX,16.3,0.0,157.8,17.2,76,7,0.0,0.0,0,0.0,0,0.0,0
Jashaun Corbin,RB,NYG,15.9,0.93,,,,,-0.93,0.0,0,0.0,0,2.8,3
Charlie Woerner,TE,SF,15.8,0.93,,,,,0.79,8.8,7,8.1,12,4.7,10
Kadarius Toney,WR,KC,15.7,0.92,,,,,-3.04,0.0,0,-0.4,3,39.5,13
James Proche,WR,CLE,15.7,0.92,,,,,1.58,9.5,6,3.6,9,0.0,10
Skyy Moore,WR,KC,15.6,0.92,,,,,-2.6,12.3,17,0.0,3,43.2,13
Baltimore Defense,DEF,BAL,15.6,0.0,160.5,20.1,52,13,0.0,0.0,0,0.0,0,0.0,0
Evan McPherson,K,CIN,15.6,0.0,164.9,22.8,9,6,0.0,0.0,17,0.0,12,0.0,17
Xavier Gipson,WR,NYJ,15.4,0.91,,,,,-2.8,1.6,6,13.4,17,52.2,17
Deven Thompkins,WR,TB,15.4,0.91,,,,,-0.88,4.7,7,4.7,5,26.4,17
Zaire Mitchell-Paden,TE,NO,15.3,0.9,,,,,0.9,2.7,3,0.0,0,0.0,0
Blake Whiteheart,TE,CLE,15.3,0.9,,,,,0.16,1.4,9,14.1,7,0.0,0
Hendon Hooker,QB,DET,15.2,0.89,,,,,0.0,0.0,0,2.7,3,0.0,0
Jason Brownlee,WR,NYJ,15.0,0.88,,,,,-3.53,0.0,3,0.0,0,14.1,4
Beaux Collins,WR,NYG,14.9,0.88,,,,,0.88,3.5,4,0.0,0,0.0,0
Atlanta Defense,DEF,ATL,14.9,0.0,162.6,14.1,37,11,0.0,0.0,0,0.0,0,0.0,0
Xavier Weaver,WR,ARI,14.9,0.87,,,,,1.46,10.2,7,0.0,2,0.0,0
Tyler Scott,WR,CHI,14.8,0.87,,,,,-2.11,0.0,0,1.0,4,27.4,13
Eddy Piñeiro,K,SF,14.8,0.0,166.4,22.9,19,8,0.0,0.0,0,0.0,0,0.0,0
Dan Chisena,WR,ARI,14.7,0.87,,,,,0.0,0.0,0,5.2,4,0.0,1
Derrick Gore,RB,WAS,14.7,0.87,,,,,-0.87,0.0,0,0.0,0,2.6,3
Geoff Swaim,TE,ARI,14.7,0.87,,,,,-1.8,0.0,0,1.2,3,14.4,8
Pharaoh Brown,TE,NE,14.7,0.87,,,,,-2.63,1.1,5,8.5,10,31.3,11
Mike White,QB,MIA,14.6,0.86,,,,,-0.34,0.0,0,1.1,1,2.1,6
Raheem Blackshear,RB,CAR,14.5,0.86,,,,,-1.57,0.0,0,8.0,16,14.1,9
Mitchell Wilcox,TE,CIN,14.3,0.84,,,,,-0.84,0.0,0,0.0,0,10.1,12
Gage Larvadain,WR,CLE,14.3,0.84,,,,,0.84,10.9,13,0.0,0,0.0,0
Jordan Mims,RB,NO,14.2,0.84,,,,,0.0,0.0,1,20.1,8,0.0,2
Buffalo Defense,DEF,BUF,14.2,0.0,165.8,18.2,38,7,0.0,0.0,0,0.0,0,0.0,0
Velus Jones Jr.,WR,CHI,14.2,0.84,,,,,-0.06,3.2,5,2.4,2,9.1,13
Kaleb Johnson,RB,PIT,14.1,0.83,,,,,0.83,8.3,10,0.0,0,0.0,0
Tucker Fisk,TE,ATL,14.1,0.83,,,,,0.03,2.9,4,7.4,7,1.4,2
Ihmir Smith-Marsette,WR,CAR,14.0,0.83,,,,,-1.68,0.0,0,6.0,15,28.5,17
Trey Smack,K,GB,14.0,0.0,168.0,22.2,5,11,0.0,0.0,0,0.0,0,0.0,0
Brenden Bates,TE,CLE,13.9,0.82,,,,,1.36,6.8,5,0.0,1,0.0,0
Patrick Ricard,RB,BAL,13.8,0.81,,,,,-1.64,1.6,5,9.7,10,13.7,7
Charlie Jones,WR,CIN,13.7,0.81,,,,,-1.14,6.0,14,7.0,7,17.2,11
Amar Johnson,RB,LAC,13.6,0.8,,,,,0.8,0.8,1,0.0,0,0.0,0
Drake Dabney,TE,GB,13.6,0.8,,,,,0.8,0.8,1,0.0,0,0.0,0
Cleveland Defense,DEF,CLE,13.5,0.0,173.0,14.7,28,11,0.0,0.0,0,0.0,0,0.0,0
Dee Eskridge,WR,SEA,13.4,0.79,,,,,0.62,8.2,11,5.9,5,0.5,4
Britain Covey,WR,PHI,13.2,0.78,,,,,0.09,3.0,6,6.9,5,6.2,15
Wil Lutz,K,DEN,13.2,0.0,172.6,15.7,9,10,0.0,0.0,17,0.0,17,0.0,17
Arian Smith,WR,NYJ,13.1,0.77,,,,,0.77,10.0,13,0.0,0,0.0,0
Jamal Agnew,WR,JAX,12.9,0.76,,,,,-3.03,0.0,11,0.0,0,33.3,11
Jared Wiley,TE,KC,12.8,0.75,,,,,0.45,0.9,2,1.2,1,0.0,0
Deon Jackson,RB,NYG,12.8,0.75,,,,,-0.75,0.0,0,0.0,0,1.5,2
Jaheim Bell,TE,NE,12.8,0.75,,,,,0.0,0.0,0,3.0,4,0.0,0
Tennessee Defense,DEF,TEN,12.8,0.0,180.8,14.5,5,9,0.0,0.0,0,0.0,0,0.0,0
Trevor Etienne,RB,CAR,12.2,0.72,,,,,0.72,12.2,17,0.0,0,0.0,0
Deonte Harty,WR,BUF,12.2,0.72,,,,,-2.16,0.0,0,0.0,5,34.5,16
Jacob Cowing,WR,SF,12.1,0.71,,,,,0.0,0.0,0,10.7,15,0.0,0
David Martin-Robinson,TE,TEN,12.1,0.71,,,,,1.0,11.0,11,1.1,4,0.0,0
DeeJay Dallas,RB,SEA,12.0,0.71,,,,,-0.12,2.1,5,19.5,16,9.2,17
Jaren Hall,QB,MIN,12.0,0.71,,,,,-0.71,0.0,0,0.0,0,2.1,3
Alex Armah,RB,WAS,11.9,0.7,,,,,-0.7,0.0,0,0.0,0,2.8,4
Kwamie Lassiter II,WR,CIN,11.9,0.7,,,,,-0.7,0.0,0,0.0,0,0.7,1
Jalen Royals,WR,KC,11.9,0.7,,,,,0.7,1.4,2,0.0,0,0.0,0
Anthony McFarland,RB,PIT,11.9,0.7,,,,,-0.7,0.0,0,0.0,0,2.1,3
Teddy Bridgewater,QB,DET,11.4,0.67,,,,,1.16,2.9,3,0.0,0,-0.2,1
Ty Montgomery,WR,NE,11.4,0.67,,,,,-0.67,0.0,0,0.0,0,7.4,11
Kameron Johnson,WR,TB,11.3,0.66,,,,,0.92,15.7,17,1.1,4,0.0,0
Mason Kinsey,WR,TEN,11.3,0.66,,,,,0.78,5.8,6,2.7,6,1.1,6
C.J. Uzomah,TE,NYJ,11.2,0.66,,,,,-1.98,0.0,0,0.0,2,15.8,8
Collin Johnson,WR,CHI,11.1,0.66,,,,,-1.6,0.0,0,1.1,6,1.6,1
Chris Manhertz,TE,DEN,11.0,0.65,,,,,-0.07,1.2,4,10.5,8,2.6,7
Sean Clifford,QB,GB,10.9,0.64,,,,,-0.64,0.0,0,0.0,0,1.3,2
Chase Edmonds,RB,TB,10.7,0.63,,,,,-2.52,0.0,3,0.0,0,32.7,13
Ke'Shawn Vaughn,RB,TB,10.7,0.63,,,,,-1.08,0.0,0,0.4,1,5.4,5
British Brooks,RB,HOU,10.6,0.62,,,,,0.97,7.8,8,0.2,2,0.0,0
Nikko Remigio,WR,KC,10.6,0.62,,,,,0.26,3.7,14,5.8,5,0.0,0
Stephen Sullivan,TE,CAR,10.5,0.62,,,,,-1.85,0.0,0,0.0,1,18.5,10
Brett Rypien,QB,LA,10.2,0.6,,,,,-2.39,0.0,1,0.0,0,4.8,2
Max Brosmer,QB,MIN,10.2,0.6,,,,,0.6,4.2,7,0.0,0,0.0,0
Keaontay Ingram,RB,ARI,9.7,0.57,,,,,-1.71,0.0,0,0.0,1,12.0,7
Robert Tonyan,TE,CHI,9.7,0.57,,,,,-1.09,0.6,2,0.0,0,16.7,12
Aaron Shampklin,RB,PIT,9.6,0.57,,,,,0.0,0.0,0,1.7,3,0.0,0
Clayton Tune,QB,ARI,9.6,0.56,,,,,-0.26,2.0,2,-2.1,5,7.5,6
Tom Kennedy,WR,DET,9.5,0.56,,,,,0.93,5.6,6,0.0,3,0.0,0
Jonathan Ward,RB,TEN,9.4,0.55,,,,,-0.55,0.0,0,2.2,4,1.1,2
Tyreik McAllister,WR,LV,9.4,0.55,,,,,0.0,0.0,0,1.1,2,0.0,0
Josh Williams,RB,TB,9.4,0.55,,,,,0.55,1.1,2,0.0,0,0.0,0
Chris Evans,RB,CIN,9.1,0.53,,,,,-0.53,0.0,0,0.0,0,1.6,3
Trent Taylor,WR,CHI,9.0,0.53,,,,,0.01,0.0,0,1.6,2,-0.2,15
Devin Duvernay,WR,BAL,8.9,0.53,,,,,-0.2,3.6,17,13.7,13,5.3,13
Myles Gaskin,RB,MIN,8.7,0.51,,,,,0.6,0.6,1,1.5,4,0.0,0
Eric Gray,RB,NYG,8.6,0.51,,,,,-1.0,0.0,1,14.3,14,10.0,10
Zach Davidson,TE,BUF,8.5,0.5,,,,,0.0,0.0,0,1.0,2,0.0,0
James Robinson,RB,GB,8.5,0.5,,,,,-0.5,0.0,0,0.0,0,0.5,1
Tahj Brooks,RB,CIN,8.4,0.49,,,,,0.49,5.9,12,0.0,0,0.0,0
Alex Bachman,WR,LV,8.3,0.49,,,,,0.2,2.2,11,4.6,5,0.0,0
Zach Evans,RB,LA,8.1,0.47,,,,,-0.47,0.0,0,0.0,0,1.9,4
Julius Chestnut,RB,TEN,7.9,0.47,,,,,0.25,4.0,16,12.3,12,0.0,1
Justyn Ross,WR,KC,7.8,0.46,,,,,-1.38,0.0,0,0.0,1,8.3,6
Jelani Woods,TE,NYJ,7.6,0.45,,,,,0.45,0.9,2,0.0,0,0.0,0
Chris Blair,WR,ATL,7.5,0.44,,,,,0.0,0.0,1,2.2,2,0.0,0
Ross Dwelley,TE,SF,7.4,0.44,,,,,-0.43,1.7,4,1.0,4,1.7,2
Trevon Wesco,TE,TEN,7.4,0.43,,,,,-0.43,0.0,0,0.0,0,2.6,6
Miles Boykin,WR,PIT,6.8,0.4,,,,,-0.4,0.0,0,0.0,0,3.2,8
Ramel Keyton,WR,LV,6.8,0.4,,,,,0.0,0.0,0,1.2,3,0.0,0
Ben Yurosek,TE,MIN,6.8,0.4,,,,,0.4,2.4,6,0.0,0,0.0,0
John Shenker,TE,LV,6.8,0.4,,,,,0.0,0.0,0,1.2,3,0.0,0
Eric Tomlinson,TE,LAC,6.5,0.38,,,,,0.0,0.0,0,1.9,5,0.0,0
AJ McCarron,QB,CIN,6.5,0.38,,,,,-0.38,0.0,0,0.0,0,0.8,2
Gary Brightwell,RB,NYG,6.4,0.38,,,,,-2.27,0.0,2,0.0,1,9.1,4
DeAndre Carter,WR,LV,6.4,0.38,,,,,-0.45,0.0,4,11.7,13,7.7,17
Dareke Young,WR,SEA,6.2,0.36,,,,,0.72,5.8,8,0.0,7,0.0,1
Erik Ezukanma,WR,MIA,6.2,0.37,,,,,-1.1,0.0,0,0.0,1,2.2,2
Teagan Quitoriano,TE,HOU,6.1,0.36,,,,,-1.43,0.0,2,0.0,0,4.3,3
KC Concepcion,WR,CLE,6.0,0.0,113.5,7.3,106,11,0.0,0.0,0,0.0,0,0.0,0
Antoine Green,WR,DET,5.9,0.35,,,,,-0.35,0.0,0,0.0,0,0.7,2
Marcedes Lewis,TE,CHI,5.9,0.35,,,,,-1.82,0.0,1,0.7,5,10.9,6
Tai Felton,WR,MIN,5.7,0.33,,,,,0.33,4.0,12,0.0,0,0.0,0
Andre Baccellia,WR,ARI,5.7,0.34,,,,,0.45,1.8,4,0.0,0,0.0,1
