player,position,team,projected_points,avg_ppg_3yr,adp,adp_stdev,times_drafted,bye,ppg_trend,points_2025,games_2025,points_2024,games_2024,points_2023,games_2023
TreVeyon Henderson,RB,NE,188.7,11.1,65.2,5.4,37,11,11.1,188.7,17,0.0,0,0.0,0
Zay Flowers,WR,BAL,187.4,11.02,23.9,2.6,37,13,1.29,200.3,17,172.5,17,167.9,16
DeVonta Smith,WR,PHI,186.9,10.99,30.9,3.3,141,10,-2.09,163.3,17,165.4,13,187.1,16
Cam Ward,QB,TEN,186.7,10.98,,,,,10.98,186.7,17,0.0,0,0.0,0
Jeremiyah Love,RB,ARI,185.0,0.0,27.7,3.4,57,14,0.0,0.0,0,0.0,0,0.0,0
Terry McLaurin,WR,WAS,183.8,10.81,45.1,4.2,52,7,-0.11,95.2,10,226.8,17,163.7,17
DK Metcalf,WR,SEA,183.2,10.78,63.6,6.3,95,9,-1.51,157.7,15,158.2,15,192.4,16
RJ Harvey,RB,DEN,183.1,10.77,103.9,14.9,54,10,10.77,183.1,17,0.0,0,0.0,0
Mac Jones,QB,NE,182.3,10.73,,,,,2.15,130.0,11,96.1,10,106.4,11
Chris Godwin Jr.,WR,TB,182.1,10.71,78.4,7.5,186,10,-2.48,66.5,9,112.8,7,167.7,17
Tony Pollard,RB,DAL,181.0,10.65,69.6,4.8,56,9,-1.52,169.3,17,180.2,16,195.1,17
Shedeur Sanders,QB,CLE,180.4,10.61,,,,,10.61,84.9,8,0.0,0,0.0,0
Brian Thomas Jr.,WR,JAX,179.8,10.58,68.8,6.3,86,7,8.2,114.8,14,240.5,17,0.0,0
Philip Rivers,QB,IND,179.4,10.55,,,,,10.55,31.7,3,0.0,0,0.0,0
Ladd McConkey,WR,LAC,179.2,10.54,40.1,4.3,260,7,9.24,147.9,16,199.9,16,0.0,0
Jameson Williams,WR,DET,179.0,10.53,37.4,3.1,49,6,5.33,187.4,17,183.2,15,68.3,12
Tetairoa McMillan,WR,CAR,178.4,10.49,31.8,4.2,70,5,10.49,178.4,17,0.0,0,0.0,0
Will Levis,QB,TEN,177.5,10.44,,,,,-11.34,0.0,0,119.9,12,102.0,9
Spencer Rattler,QB,NO,177.1,10.42,,,,,10.96,98.6,9,67.3,7,0.0,0
Aaron Jones,RB,GB,177.1,10.42,101.5,17.6,41,6,-2.18,104.7,12,216.1,17,119.9,11
Keenan Allen,WR,LAC,176.5,10.39,145.3,11.3,19,13,-8.93,142.2,17,149.4,15,224.9,13
DJ Moore,WR,CHI,176.4,10.37,45.8,6.3,202,7,-5.37,147.2,17,189.1,17,238.5,17
Rico Dowdle,RB,DAL,176.2,10.37,79.0,9.0,64,9,6.39,196.8,17,178.3,16,83.0,16
Chuba Hubbard,RB,CAR,172.9,10.17,86.3,10.7,34,5,-2.23,110.4,15,220.1,15,163.0,17
Tank Dell,WR,HOU,172.9,10.17,,,,,-14.15,0.0,0,114.5,14,141.5,10
Jaylen Warren,RB,PIT,172.1,10.12,68.4,4.3,32,9,2.56,197.1,16,105.1,15,165.9,17
Jakobi Meyers,WR,LV,171.8,10.11,93.5,6.4,29,7,-2.8,138.3,16,174.5,15,183.1,16
Deebo Samuel Sr.,WR,SF,170.4,10.02,111.2,6.6,58,8,-4.73,152.2,16,130.1,15,213.7,15
Jordan Addison,WR,MIN,168.7,9.92,88.9,9.9,51,6,-2.81,114.1,14,181.0,15,186.3,17
Phil Mafah,RB,DAL,168.3,9.9,,,,,9.9,9.9,1,0.0,0,0.0,0
Rachaad White,RB,TB,166.6,9.8,128.0,16.2,30,7,-6.64,123.0,17,174.1,15,235.9,17
Tucker Kraft,TE,GB,166.4,9.79,104.5,20.0,68,11,8.15,101.2,8,138.3,17,63.0,14
Sam LaPorta,TE,DET,166.0,9.76,99.8,23.2,52,6,-1.89,86.9,9,144.6,16,196.3,17
Tyrod Taylor,QB,NYG,165.8,9.75,,,,,1.18,59.5,6,20.1,2,87.3,10
Jaylen Waddle,WR,MIA,164.6,9.68,45.1,6.1,215,10,-1.48,162.1,16,120.6,15,162.6,14
Emeka Egbuka,WR,TB,164.2,9.66,34.2,3.5,102,10,9.66,164.2,17,0.0,0,0.0,0
Darrell Henderson,RB,LA,163.6,9.62,,,,,-9.62,0.0,0,0.0,0,38.5,4
Quentin Johnston,WR,LAC,163.4,9.61,84.8,7.8,138,7,6.8,145.7,13,147.2,15,75.0,17
Zack Moss,RB,IND,162.9,9.58,,,,,-11.15,0.0,0,70.4,8,156.1,14
Michael Pittman,WR,IND,162.7,9.57,81.1,7.8,67,9,-2.8,162.4,17,131.3,16,197.7,16
Tyrone Tracy Jr.,RB,NYG,162.4,9.55,,,,,9.52,142.8,15,163.3,17,0.0,0
Travis Kelce,TE,KC,162.3,9.55,129.6,19.2,55,5,-2.4,155.2,17,146.9,16,172.9,15
Zach Charbonnet,RB,SEA,162.2,9.54,141.7,20.9,46,11,5.11,171.4,16,165.9,17,89.6,16
Malik Willis,QB,TEN,162.0,9.53,161.4,13.1,26,6,11.27,51.2,4,51.8,6,3.1,2
Christian Watson,WR,GB,161.9,9.52,53.0,6.1,128,11,1.79,114.9,10,90.8,14,87.3,9
Amari Cooper,WR,CLE,159.9,9.41,,,,,-12.73,0.0,0,100.7,13,191.0,15
Harold Fannin Jr.,TE,CLE,159.8,9.4,76.1,5.2,11,11,9.4,150.4,16,0.0,0,0.0,0
Tony Jones,RB,ARI,157.4,9.26,,,,,-4.78,0.0,0,11.5,1,28.7,6
Marvin Harrison Jr.,WR,ARI,157.4,9.26,66.0,7.3,116,14,8.94,107.3,12,165.5,17,0.0,0
Joe Milton III,QB,NE,157.1,9.24,,,,,2.58,10.3,4,19.2,1,0.0,0
Jauan Jennings,WR,SF,156.8,9.22,151.4,8.7,11,6,6.49,145.8,15,172.0,15,42.0,13
